projekt_nr;jahr;signal_count;klasse;befunde_count;bewertungsstufen;faelle;akteure;D-02;D-04;D-05;D-08;F-01;N-06_TAUTOLOGISCH;P-08
0084-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0084-2025;2025;2;UNBEKANNT;0;;;;;;N&N Bau GbR: 1825 EUR (RE65925);;;;Caspari + NEIN (B=0 C=60)
0085-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0086-2023;2023;2;POSITIV;2;VERDACHT;FALL-018;Zippel;Phase W: Diff 32.4% (A=13401.0 R=17744.0);;Gerd Zippel: 19196 EUR (2307121);;;;
0087-2023;2023;3;NEGATIV;0;;;;Phase T: Diff 41.7% (A=10035.0 R=5850.0);;FENNER GmbH u. Co. KG: 5950 EUR (RE23102);;Phase T: -4185.0 EUR (41.7%);;
0087-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0087-2025;2025;1;NEGATIV;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0088-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0088-2025;2025;4;POSITIV;18;VERDACHT;FALL-011|FALL-014|FALL-018;Bierau|Bierau, OTS, Schulz|Zippel|Zippel, Heck;Phase T: Diff 404.1% (A=1268.0 R=6393.0);;Firma Bajramaj: 2258 EUR (25100033);;;4 Akteure: Bierau, OTS, Schulz,Zippel, Heck,Bierau,Zippel;Bierau + JA (B=11 C=30)
0089-2023;2023;3;POSITIV;2;GESICHERT;FALL-017;Caspari, Schulz;Phase W: Diff 3161.3% (A=1540.0 R=50224.0);;OZ Immobiliendienste GmbH: 2684 EUR (230591);;;;Caspari + NEIN (B=0 C=80)
0089-2024;2024;2;UNBEKANNT;0;;;;;;;;Phase T: -1570.0 EUR (100.0%);;Caspari + NEIN (B=0 C=20)
0089-2025;2025;1;UNBEKANNT;0;;;;;;;;Phase T: -1714.0 EUR (100.0%);;
0090-2023;2023;1;NEGATIV;0;;;;;;;;Phase W: -4517.0 EUR (100.0%);;
0091-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0092-2023;2023;3;UNBEKANNT;0;;;;Phase W: Diff 141.3% (A=2621.0 R=6324.0);;MKG Der Dienstleister: 2785 EUR (R-24-192);;;;Caspari + NEIN (B=0 C=10)
0092-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0092-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0093-2023;2023;1;UNBEKANNT;0;;;;;;Schreinerei Lothar Merte: 2463 EUR (23G0502);;;;
0094-2023;2023;3;UNBEKANNT;3;GESICHERT|VERDACHT;FALL-014;Caspari, RS Bau|RS Bau;Phase W: Diff 83.1% (A=15192.0 R=27815.0);;RS Bau und Demontage Service: 3196 EUR (20230701);;;;Caspari + NEIN (B=0 C=20)
0094-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 31.0% (A=990.0 R=684.0);;;;;;Caspari + NEIN (B=0 C=50)
0094-2025;2025;2;POSITIV;0;;;;;;;;Phase W: -6713.0 EUR (100.0%);;Caspari + NEIN (B=0 C=70)
0095-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0095-2024;2024;3;UNBEKANNT;0;;;;Phase T: Diff 131.5% (A=1017.0 R=2354.0);;Jakobi Heizung + Sanitär: 1706 EUR (2024-138);;;;Caspari + NEIN (B=0 C=10)
0095-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Bierau + JA (B=2 C=10)
0096-2023;2023;3;UNBEKANNT;2;GESICHERT;FALL-015;Caspari, MKG;Phase W: Diff 607.8% (A=1448.0 R=10246.0);;MKG Der Dienstleister: 7514 EUR (R-23-129);;;;Caspari + NEIN (B=0 C=60)
0096-2024;2024;0;UNBEKANNT;0;;;;;;;;;;
0096-2025;2025;1;POSITIV;0;;;;;;;;;;Bierau + JA (B=10 C=25)
0097-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0097-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 50.9% (A=1817.0 R=892.0);;;;;;Bierau + JA (B=20 C=40)
0098-2025;2025;2;POSITIV;2;VERDACHT;FALL-018;Zippel;;;Zippel Fliesen und Wohnraumgestaltung: 3708 EUR (2505120);;;;Caspari + NEIN (B=0 C=80)
0099-2023;2023;1;UNBEKANNT;0;;;;;;Hengst Malerwerkstätten GmbH: 5922 EUR (202333550);;;;
0099-2024;2024;3;UNBEKANNT;0;;;;Phase W: Diff 814.0% (A=1163.0 R=10629.0);;Firma Bajramaj: 2818 EUR (25020028);;;;Caspari + NEIN (B=0 C=70)
0100-2023;2023;2;UNBEKANNT;0;;;;Phase W: Diff 66.5% (A=2850.0 R=4745.0);;Schreinerei Lothar Merte: 1381 EUR (23G0887);;;;
0100-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 48.3% (A=1005.0 R=520.0);;;;;;Caspari + NEIN (B=0 C=30)
0100-2025;2025;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0101-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
