projekt_nr;jahr;signal_count;klasse;befunde_count;bewertungsstufen;faelle;akteure;D-02;D-04;D-05;D-08;F-01;N-06_TAUTOLOGISCH;P-08
0314-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0314-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0315-2023;2023;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0317-2023;2023;2;UNBEKANNT;1;GESICHERT;FALL-014;RS Bau;;;RS Bau und Demontage Service: 6422 EUR (20241108);;;;Bierau + JA (B=29 C=29)
0317-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0318-2023;2023;1;NEGATIV;0;;;;Phase W: Diff 26.3% (A=796.0 R=586.0);;;;;;
0318-2024;2024;3;UNBEKANNT;0;;;;Phase T: Diff 53.3% (A=2132.0 R=995.0);;;;Phase T: -1137.0 EUR (53.3%);;Caspari + NEIN (B=0 C=20)
0319-2023;2023;0;UNBEKANNT;0;;;;;;;;;;
0319-2024;2024;1;UNBEKANNT;0;;;;Phase T: Diff 70.9% (A=1373.0 R=400.0);;;;;;
0320-2023;2023;2;POSITIV;1;HYPOTHESE;FALL-011;Caspari;;;;;Phase W: -5590.0 EUR (100.0%);;Caspari + NEIN (B=0 C=40)
0320-2024;2024;0;UNBEKANNT;0;;;;;;;;;;
0321-2023;2023;3;UNBEKANNT;0;;;;;;Firma Bajramaj: 5428 EUR (24040004);;Phase T: -1355.0 EUR (18.7%);;Caspari + NEIN (B=0 C=80)
0322-2023;2023;3;UNBEKANNT;0;;;;Phase W: Diff 60.6% (A=2849.0 R=4576.0);;MKG Der Dienstleister: 3082 EUR (R-24-321);;;;Caspari + NEIN (B=0 C=30)
0322-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0323-2023;2023;2;UNBEKANNT;0;;;;Phase T: Diff 34.9% (A=1780.0 R=1159.0);;Gerd Zippel: 3897 EUR (2405113);;;;
0324-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=60)
0325-2023;2023;3;POSITIV;2;VERDACHT;FALL-016;Bierau, Caspari, N&N Bau, Merte;Phase W: Diff 149.8% (A=3910.0 R=9767.0);;N&N Bau GbR: 4525 EUR (RE62224);;;;Bierau + JA (B=90 C=100)
0325-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=10)
0326-2024;2024;0;UNBEKANNT;0;;;;;;;;;;
0327-2023;2023;2;POSITIV;0;;;;;;Hengst Malerwerkstätten GmbH: 10710 EUR (202435985);;;;Caspari + NEIN (B=0 C=70)
0328-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=60)
0329-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=20)
0330-2024;2024;4;UNBEKANNT;1;GESICHERT;FALL-014;RS Bau;Phase T: Diff 25.2% (A=7273.0 R=5437.0);;RS Bau und Demontage Service: 5449 EUR (20250112);;Phase T: -1836.0 EUR (25.2%);;Caspari + NEIN (B=0 C=80)
0332-2024;2024;2;UNBEKANNT;0;;;;Phase T: Diff 653.0% (A=465.0 R=3501.0);;;;;;Caspari + NEIN (B=0 C=50)
0335-2024;2024;1;UNBEKANNT;2;GESICHERT|HYPOTHESE;FALL-015;Caspari|MKG;;;;;;;Caspari + NEIN (B=0 C=100)
0337-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=70)
0341-2024;2024;3;POSITIV;6;GESICHERT|HYPOTHESE|VERDACHT;FALL-011|FALL-018;Bierau, Caspari|Caspari, Maage|Zippel|Zippel, Bierau, Caspari;;;;;Phase W: -14805.0 EUR (100.0%);2 Akteure: Zippel,Caspari, Maage;Caspari + NEIN (B=0 C=70)
0343-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0348-2024;2024;3;UNBEKANNT;0;;;;Phase T: Diff 77.1% (A=3222.0 R=737.0);;;;Phase T: -2484.0 EUR (77.1%);;Caspari + NEIN (B=0 C=50)
0349-2024;2024;0;UNBEKANNT;0;;;;;;;;;;
0350-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Bierau + JA (B=70 C=50)
0351-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0352-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=30)
0353-2024;2024;3;POSITIV;1;GESICHERT;FALL-017;Bierau, Caspari;Phase T: Diff 564.4% (A=565.0 R=3754.0);;N&N Bau GbR: 2618 EUR (RE63625);;;;Caspari + NEIN (B=0 C=60)
0354-2024;2024;1;UNBEKANNT;0;;;;;;;;;;Caspari + NEIN (B=0 C=40)
0355-2024;2024;0;UNBEKANNT;0;;;;;;;;;;
