projekt_nr;signal_count;befunde_count;bewertungsstufen;faelle;gt_kategorie;BEN-01;D-02;D-03;D-04;D-05;D-08;F-01;F-03;N-06;N-08;P-07;P-08
0219-2024;3;4;VERDACHT,GESICHERT;FALL-011;;;;;;;;Phase W: Diff -43784.0 EUR (100.0%);;3 Akteure: Bierau,Zippel, Bierau,Unbekannt (SM-A336B);;;Bierau + JA (BC-Score: 23+21)
0220-2025;0;0;;;;;;;;;;;;;;;
0221;0;0;;;;;;;;;;;;;;;
0222-2024;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 2+5)
0223-2024;3;1;GESICHERT;FALL-011;;;;;;RE 24110013: 4858 EUR;;Phase W: Diff -3968.0 EUR (100.0%);;;;;Bierau + JA (BC-Score: 31+36)
0224;0;0;;;;;;;;;;;;;;;
0225;0;0;;;;;;;;;;;;;;;
0226-2024;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 1+5)
0227;0;0;;;;;;;;;;;;;;;
0228;0;0;;;;;;;;;;;;;;;
0229;0;0;;;;;;;;;;;;;;;
0230;0;0;;;;;;;;;;;;;;;
0231;0;0;;;;;;;;;;;;;;;
0232;0;0;;;;;;;;;;;;;;;
0233;0;0;;;;;;;;;;;;;;;
0234;0;0;;;;;;;;;;;;;;;
0235;0;0;;;;;;;;;;;;;;;
0236;0;0;;;;;;;;;;;;;;;
0237;0;0;;;;;;;;;;;;;;;
0238;0;0;;;;;;;;;;;;;;;
0239;0;0;;;;;;;;;;;;;;;
0240;0;0;;;;;;;;;;;;;;;
0241;0;0;;;;;;;;;;;;;;;
0242;0;0;;;;;;;;;;;;;;;
0243;0;0;;;;;;;;;;;;;;;
0244;0;0;;;;;;;;;;;;;;;
0245;0;0;;;;;;;;;;;;;;;
0246;0;0;;;;;;;;;;;;;;;
0247-2024;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 12+17)
0248;0;0;;;;;;;;;;;;;;;
0249;0;0;;;;;;;;;;;;;;;
0250;0;0;;;;;;;;;;;;;;;
0251;0;0;;;;;;;;;;;;;;;
0252-2023;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 14+6)
0253;0;0;;;;;;;;;;;;;;;
0254;0;0;;;;;;;;;;;;;;;
0255;0;0;;;;;;;;;;;;;;;
0256;0;0;;;;;;;;;;;;;;;
0257;0;0;;;;;;;;;;;;;;;
0258;0;0;;;;;;;;;;;;;;;
0259;0;0;;;;;;;;;;;;;;;
0260;0;0;;;;;;;;;;;;;;;
0261;0;0;;;;;;;;;;;;;;;
0262;0;0;;;;;;;;;;;;;;;
0263;0;0;;;;;;;;;;;;;;;
0264;0;0;;;;;;;;;;;;;;;
0265;0;0;;;;;;;;;;;;;;;
0266;0;0;;;;;;;;;;;;;;;
0267;0;0;;;;;;;;;;;;;;;
0268;0;0;;;;;;;;;;;;;;;
0269;0;0;;;;;;;;;;;;;;;
0270;0;0;;;;;;;;;;;;;;;
0271;0;0;;;;;;;;;;;;;;;
0272;0;0;;;;;;;;;;;;;;;
0273-2024 ;0;0;;;;;;;;;;;;;;;
0274;0;0;;;;;;;;;;;;;;;
0275-2024;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 19+10)
0276;0;0;;;;;;;;;;;;;;;
0277-2024;2;0;;;;;;;;;;Phase W: Diff -3102.0 EUR (100.0%);;;;;Bierau + JA (BC-Score: 43+43)
0278;0;0;;;;;;;;;;;;;;;
0279;0;0;;;;;;;;;;;;;;;
0280-2023;1;0;;;;;;;;;;;;;;;Bierau + JA (BC-Score: 1+5)
0282;0;0;;;;;;;;;;;;;;;
0283;0;0;;;;;;;;;;;;;;;
0284;0;0;;;;;;;;;;;;;;;
0285;0;0;;;;;;;;;;;;;;;
0286-2023;1;1;GESICHERT;FALL-014;;;;;;;;;;;;;Bierau + JA (BC-Score: 55+55)
0287;0;0;;;;;;;;;;;;;;;
0288;0;0;;;;;;;;;;;;;;;
0289;0;0;;;;;;;;;;;;;;;
0290-2024 ;0;0;;;;;;;;;;;;;;;
0291;0;0;;;;;;;;;;;;;;;
0292;0;0;;;;;;;;;;;;;;;
0293;0;0;;;;;;;;;;;;;;;
0294;0;0;;;;;;;;;;;;;;;
0295;0;0;;;;;;;;;;;;;;;
0296;0;0;;;;;;;;;;;;;;;
0297-2024;4;1;VERDACHT;FALL-011;;;Diff 95.4% (A=18988.0 R=877.0);;;RE 25050032: 2290 EUR;;Phase W: Diff -18110.0 EUR (95.4%);;;;;Bierau + JA (BC-Score: 63+51)
0298;0;0;;;;;;;;;;;;;;;
0299;0;0;;;;;;;;;;;;;;;
0300;0;0;;;;;;;;;;;;;;;
0301;0;0;;;;;;;;;;;;;;;
0302;0;0;;;;;;;;;;;;;;;
0303;0;0;;;;;;;;;;;;;;;
0304;0;0;;;;;;;;;;;;;;;
0305;0;0;;;;;;;;;;;;;;;
0306;0;0;;;;;;;;;;;;;;;
