projekt_nr;jahr;core_score;total_score;klasse;befunde_count;bewertungsstufen;faelle;D-02;D-04;D-05;D-08;F-01;F-08;P-08;P-11
0087-2023;2023;2;3;NEGATIV;0;;;Phase T: Diff 41.7%% (A=10035.0 R=5850.0);;FENNER GmbH u. Co. KG: 5950 EUR;;;T-Phase: -4185.0 EUR (41.7%%);;
0087-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0087-2025;2025;0;0;NEGATIV;0;;;;;;;;;;
0088-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0088-2025;2025;2;2;POSITIV;18;VERDACHT;FALL-011|FALL-014|FALL-018;;;Firma Bajramaj: 2258 EUR;;;;Bierau + Tandem (B=11 C=30);
0089-2023;2023;2;2;POSITIV;2;GESICHERT;FALL-017;;;OZ Immobiliendienste GmbH: 2684 EUR;;;;;Caspari solo C=80 beteil=HOCH
0089-2024;2024;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1570.0 EUR (100.0%%);;
0089-2025;2025;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1714.0 EUR (100.0%%);;
0090-2023;2023;1;1;NEGATIV;0;;;;;;;W-Phase: -4517.0 EUR (100.0%%);;;
0091-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0092-2023;2023;1;1;UNBEKANNT;0;;;;;MKG Der Dienstleister: 2785 EUR;;;;;
0092-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0092-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0093-2023;2023;1;1;UNBEKANNT;0;;;;;Schreinerei Lothar Merte: 2463 EUR;;;;;
0094-2023;2023;1;1;UNBEKANNT;3;GESICHERT|VERDACHT;FALL-014;;;RS Bau und Demontage Service: 3196 EUR;;;;;
0094-2024;2024;2;2;UNBEKANNT;0;;;Phase T: Diff 31.0%% (A=990.0 R=684.0);;;;;;;Caspari solo C=50 beteil=HOCH
0094-2025;2025;2;2;POSITIV;0;;;;;;;W-Phase: -6713.0 EUR (100.0%%);;;Caspari solo C=70 beteil=HOCH
0095-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0095-2024;2024;1;1;UNBEKANNT;0;;;;;Jakobi Heizung + Sanitär: 1706 EUR;;;;;
0095-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;Bierau + Tandem (B=2 C=10);
0096-2023;2023;3;3;UNBEKANNT;2;GESICHERT;FALL-015;Phase T: Diff 32.2%% (A=2529.0 R=1715.0);;MKG Der Dienstleister: 7514 EUR;;;;;Caspari solo C=60 beteil=HOCH
0096-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0096-2025;2025;1;1;POSITIV;0;;;;;;;;;Bierau + Tandem (B=10 C=25);
0097-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0097-2024;2024;2;2;UNBEKANNT;0;;;Phase T: Diff 50.9%% (A=1817.0 R=892.0);;;;;;Bierau + Tandem (B=20 C=40);
0098-2025;2025;2;2;POSITIV;2;VERDACHT;FALL-018;;;Zippel Fliesen und Wohnraumgestaltung: 3708 EUR;;;;;Caspari solo C=80 beteil=HOCH
0099-2023;2023;1;1;UNBEKANNT;0;;;;;Hengst Malerwerkstätten GmbH: 5922 EUR;;;;;
0099-2024;2024;2;2;UNBEKANNT;0;;;;;Firma Bajramaj: 2818 EUR;;;;;Caspari solo C=70 beteil=HOCH
0100-2023;2023;1;1;UNBEKANNT;0;;;;;Schreinerei Lothar Merte: 1381 EUR;;;;;
0100-2024;2024;1;1;UNBEKANNT;0;;;Phase T: Diff 48.3%% (A=1005.0 R=520.0);;;;;;;
0100-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0101-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0101-2024;2024;1;2;POSITIV;0;;;;;;;;T-Phase: -9275.0 EUR (100.0%%);Bierau + Tandem (B=13 C=4);
0102-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0102-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0103-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0103-2024;2024;1;1;UNBEKANNT;0;;;;;Schreinerei Lothar Merte: 1504 EUR;;;;;
0103-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=100 beteil=HOCH
0104-2023;2023;1;1;UNBEKANNT;2;VERDACHT;FALL-015;;;MKG Der Dienstleister: 7140 EUR;;;;;
0104-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0104-2025;2025;1;2;UNBEKANNT;0;;;;;;;;T-Phase: -2953.0 EUR (100.0%%);Bierau + Tandem (B=4 C=10);
0105-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0105-2024;2024;3;3;POSITIV;3;HYPOTHESE|VERDACHT;FALL-014|FALL-015;Phase W: Diff 97.7%% (A=8151.0 R=184.0);;;;W-Phase: -7967.0 EUR (97.7%%);;Bierau + Tandem (B=28 C=22);
0105-2025;2025;2;2;UNBEKANNT;1;GESICHERT;FALL-014;;;RS Bau und Demontage Service: 2169 EUR;;;;;Caspari solo C=100 beteil=HOCH
0106-2023;2023;1;1;POSITIV;0;;;;;;;W-Phase: -3440.0 EUR (100.0%%);;;
0106-2024;2024;1;1;UNBEKANNT;0;;;;;Hengst Malerwerkstätten GmbH: 5098 EUR;;;;;
0106-2025;2025;2;2;POSITIV;4;GESICHERT;FALL-011;;;;;W-Phase: -6438.0 EUR (100.0%%);;;Caspari solo C=100 beteil=HOCH
0107-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0107-2025;2025;1;2;UNBEKANNT;0;;;;;;;;T-Phase: -1111.0 EUR (100.0%%);Bierau + Tandem (B=12 C=16);
0108-2023;2023;1;2;UNBEKANNT;0;;;Phase T: Diff 26.5%% (A=5661.0 R=4158.0);;;;;T-Phase: -1503.0 EUR (26.5%%);;
0108-2025;2025;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=90 beteil=HOCH
0109-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0109-2024;2024;2;2;UNBEKANNT;0;;;;;Öko-Bauzentrum Junker GmbH & Co. KG: 3986 EUR;;;;;Caspari solo C=90 beteil=HOCH
0109-2025;2025;1;1;UNBEKANNT;4;GESICHERT;FALL-011|FALL-014;;;;;;;Bierau + Tandem (B=18 C=30);
0110-2024;2024;2;2;UNBEKANNT;2;GESICHERT|HYPOTHESE;FALL-015;;;MKG Der Dienstleister: 11900 EUR;;;;;Caspari solo C=60 beteil=HOCH
0110-2025;2025;1;1;UNBEKANNT;0;;;;;N&N Bau GbR: 4089 EUR;;;;;
0111-2025;2025;2;2;POSITIV;0;;;Phase W: Diff 60.7%% (A=825.0 R=325.0);;;;;;;Caspari solo C=90 beteil=HOCH
0112-2024;2024;1;1;UNBEKANNT;0;;;Phase T: Diff 32.5%% (A=1684.0 R=1136.0);;;;;;;
0112-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
